"Driver Name","Race Class","Qual Result Laps","Qual Result Time","Race Result Laps","Race Results Time","Round or Leg","Race Lap Time","Race Lap Number","Race Date"
"Tony 'Two Wheel' Telford","Touring Car","15","315.00","16","302.45","F1","18.34",1,2018-04-23
"Tony 'Two Wheel' Telford","Touring Car","15","315.00","16","302.45","F1","31.68",2,2018-04-23
"Tony 'Two Wheel' Telford","Touring Car","15","315.00","16","302.45","F1","18.12",3,2018-04-23
"Tony 'Two Wheel' Telford","Touring Car","15","315.00","16","302.45","F1","21.65",4,2018-04-23
"Tony 'Two Wheel' Telford","Touring Car","15","315.00","16","302.45","F1","15.06",5,2018-04-23
"Tony 'Two Wheel' Telford","Touring Car","15","315.00","16","302.45","F1","22.18",6,2018-04-23
"Tony 'Two Wheel' Telford","Touring Car","15","315.00","16","302.45","F1","19.80",7,2018-04-23
"Tony 'Two Wheel' Telford","Touring Car","15","315.00","16","302.45","F1","19.81",8,2018-04-23
"Tony 'Two Wheel' Telford","Touring Car","15","315.00","16","302.45","F1","16.02",9,2018-04-23
"Tony 'Two Wheel' Telford","Touring Car","15","315.00","16","302.45","F1","20.52",10,2018-04-23
"Tony 'Two Wheel' Telford","Touring Car","15","315.00","16","302.45","F1","14.09",11,2018-04-23
"Tony 'Two Wheel' Telford","Touring Car","15","315.00","16","302.45","F1","15.02",12,2018-04-23
"Tony 'Two Wheel' Telford","Touring Car","15","315.00","16","302.45","F1","19.66",13,2018-04-23
"Tony 'Two Wheel' Telford","Touring Car","15","315.00","16","302.45","F1","18.95",14,2018-04-23
"Tony 'Two Wheel' Telford","Touring Car","15","315.00","16","302.45","F1","16.86",15,2018-04-23
"Tony 'Two Wheel' Telford","Touring Car","15","315.00","16","302.45","F1","14.69",16,2018-04-23
"Ian 'Bunny Boiler' Watson","Touring Car","24","310.54","23","307.42","F1","11.47",1,2018-04-23
"Ian 'Bunny Boiler' Watson","Touring Car","24","310.54","23","307.42","F1","12.39",2,2018-04-23
"Ian 'Bunny Boiler' Watson","Touring Car","24","310.54","23","307.42","F1","13.15",3,2018-04-23
"Ian 'Bunny Boiler' Watson","Touring Car","24","310.54","23","307.42","F1","19.14",4,2018-04-23
"Ian 'Bunny Boiler' Watson","Touring Car","24","310.54","23","307.42","F1","13.05",5,2018-04-23
"Ian 'Bunny Boiler' Watson","Touring Car","24","310.54","23","307.42","F1","12.31",6,2018-04-23
"Ian 'Bunny Boiler' Watson","Touring Car","24","310.54","23","307.42","F1","12.31",7,2018-04-23
"Ian 'Bunny Boiler' Watson","Touring Car","24","310.54","23","307.42","F1","13.27",8,2018-04-23
"Ian 'Bunny Boiler' Watson","Touring Car","24","310.54","23","307.42","F1","14.00",9,2018-04-23
"Ian 'Bunny Boiler' Watson","Touring Car","24","310.54","23","307.42","F1","14.50",10,2018-04-23
"Ian 'Bunny Boiler' Watson","Touring Car","24","310.54","23","307.42","F1","12.79",11,2018-04-23
"Ian 'Bunny Boiler' Watson","Touring Car","24","310.54","23","307.42","F1","12.90",12,2018-04-23
"Ian 'Bunny Boiler' Watson","Touring Car","24","310.54","23","307.42","F1","12.53",13,2018-04-23
"Ian 'Bunny Boiler' Watson","Touring Car","24","310.54","23","307.42","F1","12.41",14,2018-04-23
"Ian 'Bunny Boiler' Watson","Touring Car","24","310.54","23","307.42","F1","12.54",15,2018-04-23
"Ian 'Bunny Boiler' Watson","Touring Car","24","310.54","23","307.42","F1","12.51",16,2018-04-23
"Ian 'Bunny Boiler' Watson","Touring Car","24","310.54","23","307.42","F1","18.13",17,2018-04-23
"Ian 'Bunny Boiler' Watson","Touring Car","24","310.54","23","307.42","F1","12.46",18,2018-04-23
"Ian 'Bunny Boiler' Watson","Touring Car","24","310.54","23","307.42","F1","12.90",19,2018-04-23
"Ian 'Bunny Boiler' Watson","Touring Car","24","310.54","23","307.42","F1","12.75",20,2018-04-23
"Ian 'Bunny Boiler' Watson","Touring Car","24","310.54","23","307.42","F1","12.35",21,2018-04-23
"Ian 'Bunny Boiler' Watson","Touring Car","24","310.54","23","307.42","F1","12.99",22,2018-04-23
"Ian 'Bunny Boiler' Watson","Touring Car","24","310.54","23","307.42","F1","14.57",23,2018-04-23
"Ian 'Bunny Boiler' Watson","Touring Car","24","310.54","25","311.17","F2","11.88",1,2018-04-23
"Ian 'Bunny Boiler' Watson","Touring Car","24","310.54","25","311.17","F2","12.60",2,2018-04-23
"Ian 'Bunny Boiler' Watson","Touring Car","24","310.54","25","311.17","F2","12.35",3,2018-04-23
"Ian 'Bunny Boiler' Watson","Touring Car","24","310.54","25","311.17","F2","12.17",4,2018-04-23
"Ian 'Bunny Boiler' Watson","Touring Car","24","310.54","25","311.17","F2","12.55",5,2018-04-23
"Ian 'Bunny Boiler' Watson","Touring Car","24","310.54","25","311.17","F2","12.89",6,2018-04-23
"Ian 'Bunny Boiler' Watson","Touring Car","24","310.54","25","311.17","F2","12.17",7,2018-04-23
"Ian 'Bunny Boiler' Watson","Touring Car","24","310.54","25","311.17","F2","13.27",8,2018-04-23
"Ian 'Bunny Boiler' Watson","Touring Car","24","310.54","25","311.17","F2","12.47",9,2018-04-23
"Ian 'Bunny Boiler' Watson","Touring Car","24","310.54","25","311.17","F2","12.40",10,2018-04-23
"Ian 'Bunny Boiler' Watson","Touring Car","24","310.54","25","311.17","F2","12.05",11,2018-04-23
"Ian 'Bunny Boiler' Watson","Touring Car","24","310.54","25","311.17","F2","12.16",12,2018-04-23
"Ian 'Bunny Boiler' Watson","Touring Car","24","310.54","25","311.17","F2","12.32",13,2018-04-23
"Ian 'Bunny Boiler' Watson","Touring Car","24","310.54","25","311.17","F2","12.28",14,2018-04-23
"Ian 'Bunny Boiler' Watson","Touring Car","24","310.54","25","311.17","F2","12.16",15,2018-04-23
"Ian 'Bunny Boiler' Watson","Touring Car","24","310.54","25","311.17","F2","12.34",16,2018-04-23
"Ian 'Bunny Boiler' Watson","Touring Car","24","310.54","25","311.17","F2","12.54",17,2018-04-23
"Ian 'Bunny Boiler' Watson","Touring Car","24","310.54","25","311.17","F2","12.61",18,2018-04-23
"Ian 'Bunny Boiler' Watson","Touring Car","24","310.54","25","311.17","F2","12.49",19,2018-04-23
"Ian 'Bunny Boiler' Watson","Touring Car","24","310.54","25","311.17","F2","11.89",20,2018-04-23
"Ian 'Bunny Boiler' Watson","Touring Car","24","310.54","25","311.17","F2","12.34",21,2018-04-23
"Ian 'Bunny Boiler' Watson","Touring Car","24","310.54","25","311.17","F2","12.14",22,2018-04-23
"Ian 'Bunny Boiler' Watson","Touring Car","24","310.54","25","311.17","F2","12.90",23,2018-04-23
"Ian 'Bunny Boiler' Watson","Touring Car","24","310.54","25","311.17","F2","12.40",24,2018-04-23
"Ian 'Bunny Boiler' Watson","Touring Car","24","310.54","25","311.17","F2","13.80",25,2018-04-23
"Jamie Stewart",4wd,"21","303.67","19","307.67","F1","12.94",1,2018-04-23
"Jamie Stewart",4wd,"21","303.67","19","307.67","F1","18.21",2,2018-04-23
"Jamie Stewart",4wd,"21","303.67","19","307.67","F1","15.11",3,2018-04-23
"Jamie Stewart",4wd,"21","303.67","19","307.67","F1","15.35",4,2018-04-23
"Jamie Stewart",4wd,"21","303.67","19","307.67","F1","14.68",5,2018-04-23
"Jamie Stewart",4wd,"21","303.67","19","307.67","F1","15.31",6,2018-04-23
"Jamie Stewart",4wd,"21","303.67","19","307.67","F1","16.03",7,2018-04-23
"Jamie Stewart",4wd,"21","303.67","19","307.67","F1","18.49",8,2018-04-23
"Jamie Stewart",4wd,"21","303.67","19","307.67","F1","19.92",9,2018-04-23
"Jamie Stewart",4wd,"21","303.67","19","307.67","F1","16.95",10,2018-04-23
"Jamie Stewart",4wd,"21","303.67","19","307.67","F1","20.14",11,2018-04-23
"Jamie Stewart",4wd,"21","303.67","19","307.67","F1","17.36",12,2018-04-23
"Jamie Stewart",4wd,"21","303.67","19","307.67","F1","14.49",13,2018-04-23
"Jamie Stewart",4wd,"21","303.67","19","307.67","F1","14.10",14,2018-04-23
"Jamie Stewart",4wd,"21","303.67","19","307.67","F1","15.16",15,2018-04-23
"Jamie Stewart",4wd,"21","303.67","19","307.67","F1","14.53",16,2018-04-23
"Jamie Stewart",4wd,"21","303.67","19","307.67","F1","15.32",17,2018-04-23
"Jamie Stewart",4wd,"21","303.67","19","307.67","F1","15.83",18,2018-04-23
"Jamie Stewart",4wd,"21","303.67","19","307.67","F1","17.75",19,2018-04-23
"Jamie Stewart",4wd,"21","303.67","21","309.33","F2","12.33",1,2018-04-23
"Jamie Stewart",4wd,"21","303.67","21","309.33","F2","14.87",2,2018-04-23
"Jamie Stewart",4wd,"21","303.67","21","309.33","F2","15.29",3,2018-04-23
"Jamie Stewart",4wd,"21","303.67","21","309.33","F2","16.14",4,2018-04-23
"Jamie Stewart",4wd,"21","303.67","21","309.33","F2","16.03",5,2018-04-23
"Jamie Stewart",4wd,"21","303.67","21","309.33","F2","14.01",6,2018-04-23
"Jamie Stewart",4wd,"21","303.67","21","309.33","F2","14.17",7,2018-04-23
