"Driver Name","Race Class","Qual Result Laps","Qual Result Time","Race Result Laps","Race Results Time","Round or Leg","Race Lap Time","Race Lap Number","Race Date"
"Tony 'Two Wheel' Telford","Touring Car","17","317.92","4","187.74","H1","23.37",1,2018-04-16
"Tony 'Two Wheel' Telford","Touring Car","17","317.92","4","187.74","H1","121.62",2,2018-04-16
"Tony 'Two Wheel' Telford","Touring Car","17","317.92","4","187.74","H1","20.97",3,2018-04-16
"Tony 'Two Wheel' Telford","Touring Car","17","317.92","4","187.74","H1","21.78",4,2018-04-16
"Tony 'Two Wheel' Telford","Touring Car","17","317.92","14","303.98","H2","20.31",1,2018-04-16
"Tony 'Two Wheel' Telford","Touring Car","17","317.92","14","303.98","H2","17.49",2,2018-04-16
"Tony 'Two Wheel' Telford","Touring Car","17","317.92","14","303.98","H2","19.95",3,2018-04-16
"Tony 'Two Wheel' Telford","Touring Car","17","317.92","14","303.98","H2","19.39",4,2018-04-16
"Tony 'Two Wheel' Telford","Touring Car","17","317.92","14","303.98","H2","17.22",5,2018-04-16
"Tony 'Two Wheel' Telford","Touring Car","17","317.92","14","303.98","H2","25.20",6,2018-04-16
"Tony 'Two Wheel' Telford","Touring Car","17","317.92","14","303.98","H2","22.26",7,2018-04-16
"Tony 'Two Wheel' Telford","Touring Car","17","317.92","14","303.98","H2","26.93",8,2018-04-16
"Tony 'Two Wheel' Telford","Touring Car","17","317.92","14","303.98","H2","25.01",9,2018-04-16
"Tony 'Two Wheel' Telford","Touring Car","17","317.92","14","303.98","H2","28.42",10,2018-04-16
"Tony 'Two Wheel' Telford","Touring Car","17","317.92","14","303.98","H2","19.06",11,2018-04-16
"Tony 'Two Wheel' Telford","Touring Car","17","317.92","14","303.98","H2","18.68",12,2018-04-16
"Tony 'Two Wheel' Telford","Touring Car","17","317.92","14","303.98","H2","23.55",13,2018-04-16
"Tony 'Two Wheel' Telford","Touring Car","17","317.92","14","303.98","H2","20.51",14,2018-04-16
"Tony 'Two Wheel' Telford","Touring Car","17","317.92","17","317.92","H3","17.22",1,2018-04-16
"Tony 'Two Wheel' Telford","Touring Car","17","317.92","17","317.92","H3","21.39",2,2018-04-16
"Tony 'Two Wheel' Telford","Touring Car","17","317.92","17","317.92","H3","15.06",3,2018-04-16
"Tony 'Two Wheel' Telford","Touring Car","17","317.92","17","317.92","H3","19.24",4,2018-04-16
