Driver Name,Race Class,Qual Result Laps,Qual Result Time,Race Result Laps,Race Results Time,Round or Leg,Race Lap Time,Race Lap Number,Race Date
Tony 'Two Wheel' Telford,Touring Car,17,316.18,7,173.47,F1,19.74,1,09/04/2018
Tony 'Two Wheel' Telford,Touring Car,17,316.18,7,173.47,F1,18.84,2,09/04/2018
Tony 'Two Wheel' Telford,Touring Car,17,316.18,7,173.47,F1,17.12,3,09/04/2018
Tony 'Two Wheel' Telford,Touring Car,17,316.18,7,173.47,F1,43.11,4,09/04/2018
Tony 'Two Wheel' Telford,Touring Car,17,316.18,7,173.47,F1,37.24,5,09/04/2018
Tony 'Two Wheel' Telford,Touring Car,17,316.18,7,173.47,F1,17.74,6,09/04/2018
Tony 'Two Wheel' Telford,Touring Car,17,316.18,7,173.47,F1,19.68,7,09/04/2018
Gary Wilkinson,4wd,17,322.75,17,308.05,F1,18.84,1,09/04/2018
Gary Wilkinson,4wd,17,322.75,17,308.05,F1,20,2,09/04/2018
Gary Wilkinson,4wd,17,322.75,17,308.05,F1,17.61,3,09/04/2018
Gary Wilkinson,4wd,17,322.75,17,308.05,F1,16.73,4,09/04/2018
Gary Wilkinson,4wd,17,322.75,17,308.05,F1,16.79,5,09/04/2018
Gary Wilkinson,4wd,17,322.75,17,308.05,F1,17.07,6,09/04/2018
Gary Wilkinson,4wd,17,322.75,17,308.05,F1,18.68,7,09/04/2018
Gary Wilkinson,4wd,17,322.75,17,308.05,F1,16.66,8,09/04/2018
Gary Wilkinson,4wd,17,322.75,17,308.05,F1,16.85,9,09/04/2018
Gary Wilkinson,4wd,17,322.75,17,308.05,F1,15.78,10,09/04/2018
Gary Wilkinson,4wd,17,322.75,17,308.05,F1,22.63,11,09/04/2018
Gary Wilkinson,4wd,17,322.75,17,308.05,F1,19.15,12,09/04/2018
Gary Wilkinson,4wd,17,322.75,17,308.05,F1,23.42,13,09/04/2018
Gary Wilkinson,4wd,17,322.75,17,308.05,F1,16.83,14,09/04/2018
Gary Wilkinson,4wd,17,322.75,17,308.05,F1,17.22,15,09/04/2018
Gary Wilkinson,4wd,17,322.75,17,308.05,F1,16.36,16,09/04/2018
Gary Wilkinson,4wd,17,322.75,17,308.05,F1,17.43,17,09/04/2018
Gary Wilkinson,4wd,17,322.75,17,314.56,F2,28.13,1,09/04/2018
Gary Wilkinson,4wd,17,322.75,17,314.56,F2,21.72,2,09/04/2018
Gary Wilkinson,4wd,17,322.75,17,314.56,F2,17.8,3,09/04/2018
Gary Wilkinson,4wd,17,322.75,17,314.56,F2,18.24,4,09/04/2018
Gary Wilkinson,4wd,17,322.75,17,314.56,F2,17.78,5,09/04/2018
Gary Wilkinson,4wd,17,322.75,17,314.56,F2,15.66,6,09/04/2018
Gary Wilkinson,4wd,17,322.75,17,314.56,F2,16.75,7,09/04/2018
Gary Wilkinson,4wd,17,322.75,17,314.56,F2,16.6,8,09/04/2018
Gary Wilkinson,4wd,17,322.75,17,314.56,F2,16.47,9,09/04/2018
Gary Wilkinson,4wd,17,322.75,17,314.56,F2,22.61,10,09/04/2018
Gary Wilkinson,4wd,17,322.75,17,314.56,F2,16.07,11,09/04/2018
Gary Wilkinson,4wd,17,322.75,17,314.56,F2,20.07,12,09/04/2018
Gary Wilkinson,4wd,17,322.75,17,314.56,F2,18.25,13,09/04/2018
Gary Wilkinson,4wd,17,322.75,17,314.56,F2,16.1,14,09/04/2018
Gary Wilkinson,4wd,17,322.75,17,314.56,F2,18.95,15,09/04/2018
Gary Wilkinson,4wd,17,322.75,17,314.56,F2,16.56,16,09/04/2018
Gary Wilkinson,4wd,17,322.75,17,314.56,F2,16.8,17,09/04/2018
Jamie Stewart,4wd,16,304.07,2,36.26,F1,16.75,1,09/04/2018
Jamie Stewart,4wd,16,304.07,2,36.26,F1,19.51,2,09/04/2018
Jamie Stewart,4wd,16,304.07,16,309.21,F2,19.63,1,09/04/2018
Jamie Stewart,4wd,16,304.07,16,309.21,F2,18.4,2,09/04/2018
Jamie Stewart,4wd,16,304.07,16,309.21,F2,17.74,3,09/04/2018
Jamie Stewart,4wd,16,304.07,16,309.21,F2,17.52,4,09/04/2018
Jamie Stewart,4wd,16,304.07,16,309.21,F2,19.04,5,09/04/2018
Jamie Stewart,4wd,16,304.07,16,309.21,F2,19.13,6,09/04/2018
Jamie Stewart,4wd,16,304.07,16,309.21,F2,21.54,7,09/04/2018
Jamie Stewart,4wd,16,304.07,16,309.21,F2,18.32,8,09/04/2018
Jamie Stewart,4wd,16,304.07,16,309.21,F2,19.2,9,09/04/2018
Jamie Stewart,4wd,16,304.07,16,309.21,F2,16.76,10,09/04/2018
Jamie Stewart,4wd,16,304.07,16,309.21,F2,21.75,11,09/04/2018
Jamie Stewart,4wd,16,304.07,16,309.21,F2,18.83,12,09/04/2018
Jamie Stewart,4wd,16,304.07,16,309.21,F2,17.22,13,09/04/2018
Jamie Stewart,4wd,16,304.07,16,309.21,F2,16.96,14,09/04/2018
Jamie Stewart,4wd,16,304.07,16,309.21,F2,18.57,15,09/04/2018
Jamie Stewart,4wd,16,304.07,16,309.21,F2,28.6,16,09/04/2018
