Driver Name,Race Class,Qual Result Laps,Qual Result Time,Race Result Laps,Race Results Time,Round or Leg,Race Lap Time,Race Lap Number,Race Date
Tony 'Two Wheel' Telford,Touring Car,15,315,16,302.45,F1,18.34,1,23/04/2018
Tony 'Two Wheel' Telford,Touring Car,15,315,16,302.45,F1,31.68,2,23/04/2018
Tony 'Two Wheel' Telford,Touring Car,15,315,16,302.45,F1,18.12,3,23/04/2018
Tony 'Two Wheel' Telford,Touring Car,15,315,16,302.45,F1,21.65,4,23/04/2018
Tony 'Two Wheel' Telford,Touring Car,15,315,16,302.45,F1,15.06,5,23/04/2018
Tony 'Two Wheel' Telford,Touring Car,15,315,16,302.45,F1,22.18,6,23/04/2018
Tony 'Two Wheel' Telford,Touring Car,15,315,16,302.45,F1,19.8,7,23/04/2018
Tony 'Two Wheel' Telford,Touring Car,15,315,16,302.45,F1,19.81,8,23/04/2018
Tony 'Two Wheel' Telford,Touring Car,15,315,16,302.45,F1,16.02,9,23/04/2018
Tony 'Two Wheel' Telford,Touring Car,15,315,16,302.45,F1,20.52,10,23/04/2018
Tony 'Two Wheel' Telford,Touring Car,15,315,16,302.45,F1,14.09,11,23/04/2018
Tony 'Two Wheel' Telford,Touring Car,15,315,16,302.45,F1,15.02,12,23/04/2018
Tony 'Two Wheel' Telford,Touring Car,15,315,16,302.45,F1,19.66,13,23/04/2018
Tony 'Two Wheel' Telford,Touring Car,15,315,16,302.45,F1,18.95,14,23/04/2018
Tony 'Two Wheel' Telford,Touring Car,15,315,16,302.45,F1,16.86,15,23/04/2018
Tony 'Two Wheel' Telford,Touring Car,15,315,16,302.45,F1,14.69,16,23/04/2018
Ian 'Bunny Boiler' Watson,Touring Car,24,310.54,23,307.42,F1,11.47,1,23/04/2018
Ian 'Bunny Boiler' Watson,Touring Car,24,310.54,23,307.42,F1,12.39,2,23/04/2018
Ian 'Bunny Boiler' Watson,Touring Car,24,310.54,23,307.42,F1,13.15,3,23/04/2018
Ian 'Bunny Boiler' Watson,Touring Car,24,310.54,23,307.42,F1,19.14,4,23/04/2018
Ian 'Bunny Boiler' Watson,Touring Car,24,310.54,23,307.42,F1,13.05,5,23/04/2018
Ian 'Bunny Boiler' Watson,Touring Car,24,310.54,23,307.42,F1,12.31,6,23/04/2018
Ian 'Bunny Boiler' Watson,Touring Car,24,310.54,23,307.42,F1,12.31,7,23/04/2018
Ian 'Bunny Boiler' Watson,Touring Car,24,310.54,23,307.42,F1,13.27,8,23/04/2018
