"Driver Name","Race Class","Qual Result Laps","Qual Result Time","Race Result Laps","Race Results Time","Round or Leg","Race Lap Time","Race Lap Number","Race Date"
"Tony 'Two Wheel' Telford","Touring Car","18","307.45","18","318.44","F1","18.53",1,2018-05-21
"Tony 'Two Wheel' Telford","Touring Car","18","307.45","18","318.44","F1","20.42",2,2018-05-21
"Tony 'Two Wheel' Telford","Touring Car","18","307.45","18","318.44","F1","14.78",3,2018-05-21
"Tony 'Two Wheel' Telford","Touring Car","18","307.45","18","318.44","F1","15.77",4,2018-05-21
"Tony 'Two Wheel' Telford","Touring Car","18","307.45","18","318.44","F1","21.10",5,2018-05-21
"Tony 'Two Wheel' Telford","Touring Car","18","307.45","18","318.44","F1","15.91",6,2018-05-21
"Tony 'Two Wheel' Telford","Touring Car","18","307.45","18","318.44","F1","15.40",7,2018-05-21
"Tony 'Two Wheel' Telford","Touring Car","18","307.45","18","318.44","F1","27.73",8,2018-05-21
"Tony 'Two Wheel' Telford","Touring Car","18","307.45","18","318.44","F1","16.54",9,2018-05-21
"Tony 'Two Wheel' Telford","Touring Car","18","307.45","18","318.44","F1","15.50",10,2018-05-21
"Tony 'Two Wheel' Telford","Touring Car","18","307.45","18","318.44","F1","14.54",11,2018-05-21
"Tony 'Two Wheel' Telford","Touring Car","18","307.45","18","318.44","F1","15.14",12,2018-05-21
"Tony 'Two Wheel' Telford","Touring Car","18","307.45","18","318.44","F1","22.07",13,2018-05-21
"Tony 'Two Wheel' Telford","Touring Car","18","307.45","18","318.44","F1","14.16",14,2018-05-21
"Tony 'Two Wheel' Telford","Touring Car","18","307.45","18","318.44","F1","16.56",15,2018-05-21
"Tony 'Two Wheel' Telford","Touring Car","18","307.45","18","318.44","F1","15.58",16,2018-05-21
"Tony 'Two Wheel' Telford","Touring Car","18","307.45","18","318.44","F1","19.48",17,2018-05-21
"Tony 'Two Wheel' Telford","Touring Car","18","307.45","18","318.44","F1","19.23",18,2018-05-21
"Tony 'Two Wheel' Telford","Touring Car","18","307.45","17","302.70","F2","14.49",1,2018-05-21
"Tony 'Two Wheel' Telford","Touring Car","18","307.45","17","302.70","F2","19.76",2,2018-05-21
"Tony 'Two Wheel' Telford","Touring Car","18","307.45","17","302.70","F2","22.12",3,2018-05-21
"Tony 'Two Wheel' Telford","Touring Car","18","307.45","17","302.70","F2","14.66",4,2018-05-21
"Tony 'Two Wheel' Telford","Touring Car","18","307.45","17","302.70","F2","15.91",5,2018-05-21
"Tony 'Two Wheel' Telford","Touring Car","18","307.45","17","302.70","F2","17.63",6,2018-05-21
"Tony 'Two Wheel' Telford","Touring Car","18","307.45","17","302.70","F2","16.61",7,2018-05-21
"Tony 'Two Wheel' Telford","Touring Car","18","307.45","17","302.70","F2","14.23",8,2018-05-21
"Tony 'Two Wheel' Telford","Touring Car","18","307.45","17","302.70","F2","18.84",9,2018-05-21
"Tony 'Two Wheel' Telford","Touring Car","18","307.45","17","302.70","F2","13.81",10,2018-05-21
"Tony 'Two Wheel' Telford","Touring Car","18","307.45","17","302.70","F2","15.41",11,2018-05-21
"Tony 'Two Wheel' Telford","Touring Car","18","307.45","17","302.70","F2","18.45",12,2018-05-21
"Tony 'Two Wheel' Telford","Touring Car","18","307.45","17","302.70","F2","14.91",13,2018-05-21
"Tony 'Two Wheel' Telford","Touring Car","18","307.45","17","302.70","F2","23.05",14,2018-05-21
"Tony 'Two Wheel' Telford","Touring Car","18","307.45","17","302.70","F2","28.72",15,2018-05-21
"Tony 'Two Wheel' Telford","Touring Car","18","307.45","17","302.70","F2","19.56",16,2018-05-21
"Tony 'Two Wheel' Telford","Touring Car","18","307.45","17","302.70","F2","14.54",17,2018-05-21
"Ian 'Bunny Boiler' Watson","Touring Car","22","312.74","22","311.28","F1","13.15",1,2018-05-21
"Ian 'Bunny Boiler' Watson","Touring Car","22","312.74","22","311.28","F1","13.83",2,2018-05-21
"Ian 'Bunny Boiler' Watson","Touring Car","22","312.74","22","311.28","F1","15.53",3,2018-05-21
"Ian 'Bunny Boiler' Watson","Touring Car","22","312.74","22","311.28","F1","13.76",4,2018-05-21
"Ian 'Bunny Boiler' Watson","Touring Car","22","312.74","22","311.28","F1","15.10",5,2018-05-21
"Ian 'Bunny Boiler' Watson","Touring Car","22","312.74","22","311.28","F1","15.26",6,2018-05-21
"Ian 'Bunny Boiler' Watson","Touring Car","22","312.74","22","311.28","F1","14.01",7,2018-05-21
"Ian 'Bunny Boiler' Watson","Touring Car","22","312.74","22","311.28","F1","17.47",8,2018-05-21
"Ian 'Bunny Boiler' Watson","Touring Car","22","312.74","22","311.28","F1","14.43",9,2018-05-21
"Ian 'Bunny Boiler' Watson","Touring Car","22","312.74","22","311.28","F1","15.26",10,2018-05-21
"Ian 'Bunny Boiler' Watson","Touring Car","22","312.74","22","311.28","F1","13.51",11,2018-05-21
"Ian 'Bunny Boiler' Watson","Touring Car","22","312.74","22","311.28","F1","13.69",12,2018-05-21
"Ian 'Bunny Boiler' Watson","Touring Car","22","312.74","22","311.28","F1","13.64",13,2018-05-21
