Driver Name,Race Class,Qual Result Laps,Qual Result Time,Race Result Laps,Race Results Time,Round or Leg,Race Lap Time,Race Lap Number,Race Date
Tony 'Two Wheel' Telford,Touring Car,18,313.66,14,310.25,H1,13.51,1,19/02/2018
Tony 'Two Wheel' Telford,Touring Car,18,313.66,14,310.25,H1,20.13,2,19/02/2018
Tony 'Two Wheel' Telford,Touring Car,18,313.66,14,310.25,H1,22.61,3,19/02/2018
Tony 'Two Wheel' Telford,Touring Car,18,313.66,14,310.25,H1,18.87,4,19/02/2018
Tony 'Two Wheel' Telford,Touring Car,18,313.66,14,310.25,H1,23.33,5,19/02/2018
Tony 'Two Wheel' Telford,Touring Car,18,313.66,14,310.25,H1,29.3,6,19/02/2018
Tony 'Two Wheel' Telford,Touring Car,18,313.66,14,310.25,H1,20.4,7,19/02/2018
Tony 'Two Wheel' Telford,Touring Car,18,313.66,14,310.25,H1,22.49,8,19/02/2018
Tony 'Two Wheel' Telford,Touring Car,18,313.66,14,310.25,H1,22.81,9,19/02/2018
Tony 'Two Wheel' Telford,Touring Car,18,313.66,14,310.25,H1,25.17,10,19/02/2018
Tony 'Two Wheel' Telford,Touring Car,18,313.66,14,310.25,H1,24.15,11,19/02/2018
Tony 'Two Wheel' Telford,Touring Car,18,313.66,14,310.25,H1,20.05,12,19/02/2018
Tony 'Two Wheel' Telford,Touring Car,18,313.66,14,310.25,H1,26.7,13,19/02/2018
Tony 'Two Wheel' Telford,Touring Car,18,313.66,14,310.25,H1,20.73,14,19/02/2018
Tony 'Two Wheel' Telford,Touring Car,18,313.66,15,315.29,H2,12.86,1,19/02/2018
Tony 'Two Wheel' Telford,Touring Car,18,313.66,15,315.29,H2,21.05,2,19/02/2018
Tony 'Two Wheel' Telford,Touring Car,18,313.66,15,315.29,H2,36.49,3,19/02/2018
Tony 'Two Wheel' Telford,Touring Car,18,313.66,15,315.29,H2,22.62,4,19/02/2018
Tony 'Two Wheel' Telford,Touring Car,18,313.66,15,315.29,H2,16.4,5,19/02/2018
Tony 'Two Wheel' Telford,Touring Car,18,313.66,15,315.29,H2,21.39,6,19/02/2018
Tony 'Two Wheel' Telford,Touring Car,18,313.66,15,315.29,H2,28.56,7,19/02/2018
Tony 'Two Wheel' Telford,Touring Car,18,313.66,15,315.29,H2,22.31,8,19/02/2018
Tony 'Two Wheel' Telford,Touring Car,18,313.66,15,315.29,H2,16.59,9,19/02/2018
Tony 'Two Wheel' Telford,Touring Car,18,313.66,15,315.29,H2,20.65,10,19/02/2018
Tony 'Two Wheel' Telford,Touring Car,18,313.66,15,315.29,H2,18.85,11,19/02/2018
Tony 'Two Wheel' Telford,Touring Car,18,313.66,15,315.29,H2,23.84,12,19/02/2018
Tony 'Two Wheel' Telford,Touring Car,18,313.66,15,315.29,H2,17.99,13,19/02/2018
Tony 'Two Wheel' Telford,Touring Car,18,313.66,15,315.29,H2,15.35,14,19/02/2018
Tony 'Two Wheel' Telford,Touring Car,18,313.66,15,315.29,H2,20.34,15,19/02/2018
Tony 'Two Wheel' Telford,Touring Car,18,313.66,18,313.66,H3,13.12,1,19/02/2018
Tony 'Two Wheel' Telford,Touring Car,18,313.66,18,313.66,H3,15.77,2,19/02/2018
Tony 'Two Wheel' Telford,Touring Car,18,313.66,18,313.66,H3,22.17,3,19/02/2018
Tony 'Two Wheel' Telford,Touring Car,18,313.66,18,313.66,H3,15.84,4,19/02/2018
Tony 'Two Wheel' Telford,Touring Car,18,313.66,18,313.66,H3,16.13,5,19/02/2018
Tony 'Two Wheel' Telford,Touring Car,18,313.66,18,313.66,H3,15.97,6,19/02/2018
Tony 'Two Wheel' Telford,Touring Car,18,313.66,18,313.66,H3,14.81,7,19/02/2018
Tony 'Two Wheel' Telford,Touring Car,18,313.66,18,313.66,H3,17.95,8,19/02/2018
Tony 'Two Wheel' Telford,Touring Car,18,313.66,18,313.66,H3,16.94,9,19/02/2018
Tony 'Two Wheel' Telford,Touring Car,18,313.66,18,313.66,H3,17.84,10,19/02/2018
Tony 'Two Wheel' Telford,Touring Car,18,313.66,18,313.66,H3,20.7,11,19/02/2018
Tony 'Two Wheel' Telford,Touring Car,18,313.66,18,313.66,H3,19.64,12,19/02/2018
Tony 'Two Wheel' Telford,Touring Car,18,313.66,18,313.66,H3,18.5,13,19/02/2018
Tony 'Two Wheel' Telford,Touring Car,18,313.66,18,313.66,H3,20.68,14,19/02/2018
