Driver Name,Race Class,Qual Result Laps,Qual Result Time,Race Result Laps,Race Results Time,Round or Leg,Race Lap Time,Race Lap Number,Race Date
Tony 'Two Wheel' Telford,Touring Car,20,317.54,18,307.27,H1,15.05,1,20/08/2018
Tony 'Two Wheel' Telford,Touring Car,20,317.54,18,307.27,H1,16.44,2,20/08/2018
Tony 'Two Wheel' Telford,Touring Car,20,317.54,18,307.27,H1,17.53,3,20/08/2018
Tony 'Two Wheel' Telford,Touring Car,20,317.54,18,307.27,H1,20.04,4,20/08/2018
Tony 'Two Wheel' Telford,Touring Car,20,317.54,18,307.27,H1,15.32,5,20/08/2018
Tony 'Two Wheel' Telford,Touring Car,20,317.54,18,307.27,H1,17.87,6,20/08/2018
Tony 'Two Wheel' Telford,Touring Car,20,317.54,18,307.27,H1,15.29,7,20/08/2018
Tony 'Two Wheel' Telford,Touring Car,20,317.54,18,307.27,H1,15.24,8,20/08/2018
Tony 'Two Wheel' Telford,Touring Car,20,317.54,18,307.27,H1,14.41,9,20/08/2018
Tony 'Two Wheel' Telford,Touring Car,20,317.54,18,307.27,H1,17.53,10,20/08/2018
Tony 'Two Wheel' Telford,Touring Car,20,317.54,18,307.27,H1,14.76,11,20/08/2018
Tony 'Two Wheel' Telford,Touring Car,20,317.54,18,307.27,H1,18.8,12,20/08/2018
Tony 'Two Wheel' Telford,Touring Car,20,317.54,18,307.27,H1,18.51,13,20/08/2018
Tony 'Two Wheel' Telford,Touring Car,20,317.54,18,307.27,H1,14.66,14,20/08/2018
Tony 'Two Wheel' Telford,Touring Car,20,317.54,18,307.27,H1,19.8,15,20/08/2018
Tony 'Two Wheel' Telford,Touring Car,20,317.54,18,307.27,H1,19.25,16,20/08/2018
Tony 'Two Wheel' Telford,Touring Car,20,317.54,18,307.27,H1,17.11,17,20/08/2018
Tony 'Two Wheel' Telford,Touring Car,20,317.54,18,307.27,H1,19.66,18,20/08/2018
Tony 'Two Wheel' Telford,Touring Car,20,317.54,20,317.54,H3,14.99,1,20/08/2018
Tony 'Two Wheel' Telford,Touring Car,20,317.54,20,317.54,H3,18.29,2,20/08/2018
Tony 'Two Wheel' Telford,Touring Car,20,317.54,20,317.54,H3,13.87,3,20/08/2018
Tony 'Two Wheel' Telford,Touring Car,20,317.54,20,317.54,H3,14.74,4,20/08/2018
Tony 'Two Wheel' Telford,Touring Car,20,317.54,20,317.54,H3,17.09,5,20/08/2018
Tony 'Two Wheel' Telford,Touring Car,20,317.54,20,317.54,H3,13.31,6,20/08/2018
Tony 'Two Wheel' Telford,Touring Car,20,317.54,20,317.54,H3,12.75,7,20/08/2018
Tony 'Two Wheel' Telford,Touring Car,20,317.54,20,317.54,H3,14.33,8,20/08/2018
Tony 'Two Wheel' Telford,Touring Car,20,317.54,20,317.54,H3,13.3,9,20/08/2018
Tony 'Two Wheel' Telford,Touring Car,20,317.54,20,317.54,H3,15.48,10,20/08/2018
Tony 'Two Wheel' Telford,Touring Car,20,317.54,20,317.54,H3,15.87,11,20/08/2018
Tony 'Two Wheel' Telford,Touring Car,20,317.54,20,317.54,H3,15.28,12,20/08/2018
Tony 'Two Wheel' Telford,Touring Car,20,317.54,20,317.54,H3,19.97,13,20/08/2018
Tony 'Two Wheel' Telford,Touring Car,20,317.54,20,317.54,H3,13.38,14,20/08/2018
Tony 'Two Wheel' Telford,Touring Car,20,317.54,20,317.54,H3,14.1,15,20/08/2018
Tony 'Two Wheel' Telford,Touring Car,20,317.54,20,317.54,H3,13.55,16,20/08/2018
Tony 'Two Wheel' Telford,Touring Car,20,317.54,20,317.54,H3,25.66,17,20/08/2018
Tony 'Two Wheel' Telford,Touring Car,20,317.54,20,317.54,H3,13.37,18,20/08/2018
Tony 'Two Wheel' Telford,Touring Car,20,317.54,20,317.54,H3,13.97,19,20/08/2018
