"Driver Name","Race Class","Qual Result Laps","Qual Result Time","Race Result Laps","Race Results Time","Round or Leg","Race Lap Time","Race Lap Number","Race Date"
"Gary 'The Yank' Milkinson",4wd,"21","312.44","19","314.20","H1","17.45",1,2018-09-03
"Gary 'The Yank' Milkinson",4wd,"21","312.44","19","314.20","H1","16.77",2,2018-09-03
"Gary 'The Yank' Milkinson",4wd,"21","312.44","19","314.20","H1","17.22",3,2018-09-03
"Gary 'The Yank' Milkinson",4wd,"21","312.44","19","314.20","H1","15.01",4,2018-09-03
"Gary 'The Yank' Milkinson",4wd,"21","312.44","19","314.20","H1","16.07",5,2018-09-03
"Gary 'The Yank' Milkinson",4wd,"21","312.44","19","314.20","H1","16.57",6,2018-09-03
"Gary 'The Yank' Milkinson",4wd,"21","312.44","19","314.20","H1","17.08",7,2018-09-03
"Gary 'The Yank' Milkinson",4wd,"21","312.44","19","314.20","H1","16.20",8,2018-09-03
"Gary 'The Yank' Milkinson",4wd,"21","312.44","19","314.20","H1","16.16",9,2018-09-03
"Gary 'The Yank' Milkinson",4wd,"21","312.44","19","314.20","H1","15.60",10,2018-09-03
"Gary 'The Yank' Milkinson",4wd,"21","312.44","19","314.20","H1","15.83",11,2018-09-03
"Gary 'The Yank' Milkinson",4wd,"21","312.44","19","314.20","H1","15.83",12,2018-09-03
"Gary 'The Yank' Milkinson",4wd,"21","312.44","19","314.20","H1","19.16",13,2018-09-03
"Gary 'The Yank' Milkinson",4wd,"21","312.44","19","314.20","H1","16.38",14,2018-09-03
"Gary 'The Yank' Milkinson",4wd,"21","312.44","19","314.20","H1","15.76",15,2018-09-03
"Gary 'The Yank' Milkinson",4wd,"21","312.44","19","314.20","H1","15.58",16,2018-09-03
"Gary 'The Yank' Milkinson",4wd,"21","312.44","19","314.20","H1","15.77",17,2018-09-03
"Gary 'The Yank' Milkinson",4wd,"21","312.44","19","314.20","H1","19.30",18,2018-09-03
"Gary 'The Yank' Milkinson",4wd,"21","312.44","19","314.20","H1","16.46",19,2018-09-03
"Gary 'The Yank' Milkinson",4wd,"21","312.44","18","293.17","H2","16.62",1,2018-09-03
"Gary 'The Yank' Milkinson",4wd,"21","312.44","18","293.17","H2","15.72",2,2018-09-03
"Gary 'The Yank' Milkinson",4wd,"21","312.44","18","293.17","H2","15.16",3,2018-09-03
"Gary 'The Yank' Milkinson",4wd,"21","312.44","18","293.17","H2","15.25",4,2018-09-03
"Gary 'The Yank' Milkinson",4wd,"21","312.44","18","293.17","H2","15.03",5,2018-09-03
"Gary 'The Yank' Milkinson",4wd,"21","312.44","18","293.17","H2","14.77",6,2018-09-03
"Gary 'The Yank' Milkinson",4wd,"21","312.44","18","293.17","H2","14.47",7,2018-09-03
"Gary 'The Yank' Milkinson",4wd,"21","312.44","18","293.17","H2","16.19",8,2018-09-03
"Gary 'The Yank' Milkinson",4wd,"21","312.44","18","293.17","H2","14.64",9,2018-09-03
"Gary 'The Yank' Milkinson",4wd,"21","312.44","18","293.17","H2","14.56",10,2018-09-03
"Gary 'The Yank' Milkinson",4wd,"21","312.44","18","293.17","H2","14.32",11,2018-09-03
"Gary 'The Yank' Milkinson",4wd,"21","312.44","18","293.17","H2","14.36",12,2018-09-03
"Gary 'The Yank' Milkinson",4wd,"21","312.44","18","293.17","H2","20.30",13,2018-09-03
"Gary 'The Yank' Milkinson",4wd,"21","312.44","18","293.17","H2","21.63",14,2018-09-03
"Gary 'The Yank' Milkinson",4wd,"21","312.44","18","293.17","H2","25.57",15,2018-09-03
"Gary 'The Yank' Milkinson",4wd,"21","312.44","18","293.17","H2","14.93",16,2018-09-03
"Gary 'The Yank' Milkinson",4wd,"21","312.44","18","293.17","H2","14.75",17,2018-09-03
"Gary 'The Yank' Milkinson",4wd,"21","312.44","18","293.17","H2","14.90",18,2018-09-03
"Gary 'The Yank' Milkinson",4wd,"21","312.44","19","311.96","H3","25.67",1,2018-09-03
"Gary 'The Yank' Milkinson",4wd,"21","312.44","19","311.96","H3","15.41",2,2018-09-03
"Gary 'The Yank' Milkinson",4wd,"21","312.44","19","311.96","H3","14.58",3,2018-09-03
"Gary 'The Yank' Milkinson",4wd,"21","312.44","19","311.96","H3","15.18",4,2018-09-03
"Gary 'The Yank' Milkinson",4wd,"21","312.44","19","311.96","H3","15.17",5,2018-09-03
"Gary 'The Yank' Milkinson",4wd,"21","312.44","19","311.96","H3","15.83",6,2018-09-03
"Gary 'The Yank' Milkinson",4wd,"21","312.44","19","311.96","H3","14.60",7,2018-09-03
"Gary 'The Yank' Milkinson",4wd,"21","312.44","19","311.96","H3","14.44",8,2018-09-03
"Gary 'The Yank' Milkinson",4wd,"21","312.44","19","311.96","H3","14.43",9,2018-09-03
"Gary 'The Yank' Milkinson",4wd,"21","312.44","19","311.96","H3","14.80",10,2018-09-03
"Gary 'The Yank' Milkinson",4wd,"21","312.44","19","311.96","H3","16.15",11,2018-09-03
"Gary 'The Yank' Milkinson",4wd,"21","312.44","19","311.96","H3","14.60",12,2018-09-03
"Gary 'The Yank' Milkinson",4wd,"21","312.44","19","311.96","H3","23.14",13,2018-09-03
"Gary 'The Yank' Milkinson",4wd,"21","312.44","19","311.96","H3","20.66",14,2018-09-03
"Gary 'The Yank' Milkinson",4wd,"21","312.44","19","311.96","H3","15.80",15,2018-09-03
"Gary 'The Yank' Milkinson",4wd,"21","312.44","19","311.96","H3","16.68",16,2018-09-03
"Gary 'The Yank' Milkinson",4wd,"21","312.44","19","311.96","H3","15.58",17,2018-09-03
"Gary 'The Yank' Milkinson",4wd,"21","312.44","19","311.96","H3","14.45",18,2018-09-03
